,en_description,en_label,id,zh_description,zh_label
37,"two plaques attached to the Pioneer 10 and Pioneer 11 spacecraft, in case extraterrestrial life finds it",Pioneer plaque,Q412,,先驅者鍍金鋁板
38,study of the animal kingdom,zoology,Q431,,动物学
39,Polish rural gmina in Lublin Voivodeship,Gmina Kurów,Q433,,
40,speech by John F. Kennedy in West Berlin,Ich bin ein Berliner,Q443,,Ich bin ein Berliner
41,general encyclopedia published in France between 1751 and 1772,Encyclopédie,Q447,,百科全书，或科学、艺术和工艺详解词典
42,former administrative region of France,Rhône-Alpes,Q463,法国大区,罗纳-阿尔卑斯
43,opening at the opposite end of an animal's digestive tract from its mouth,anus,Q497,,肛门
44,French poet,Charles Baudelaire,Q501,,夏尔·波德莱尔
45,structure found in some plants (division Magnoliophyta / angiosperms) to support reproduction,flower,Q506,种子植物的生殖器官,花
46,"art museum in Lyon, France",Museum of Fine Arts of Lyon,Q511,,里昂美术馆
47,branch of biology and medicine that considers the structure of living things,anatomy,Q514,,解剖学
48,"stratovolcano in the Gulf of Naples, Italy",Mount Vesuvius,Q524,,維蘇威火山
49,planetary system of the Sun,Solar System,Q544,以太阳为中心，太阳和所有受到太阳的重力约束天体的集合体,太阳系
50,"avenue in Paris, France",Avenue des Champs-Élysées,Q550,法国巴黎的大街,香榭丽舍大街
51,chemical element with symbol H and atomic number 1,hydrogen,Q556,原子序为1的化学元素,氢
52,capital city and county in Norway,Oslo,Q585,挪威的首都,奥斯陆
53,"city in Germany, former capital",Bonn,Q586,歐洲城市，西德國都，德國前國都,波恩
54,festival of Christian tradition,All Saints,Q587,,圣徒的节日
55,2011 French film directed by Olivier Nakache and Éric Toledano,The Intouchables,Q595,,无法触碰
56,capital city of Portugal,Lisbon,Q597,葡萄牙首都,里斯本
57,wine from the Beaujolais AOC of France,Beaujolais wine,Q616,,薄酒萊葡萄酒
58,"Renaissance mathematician, Polish astronomer, physician",Nicolaus Copernicus,Q619,,尼古拉·哥白尼
59,Canadian singer-songwriter,Neil Young,Q633,,尼爾·楊
60,celestial body directly orbiting a star or stellar remnant,planet,Q634,,行星
61,Italian river,Po,Q643,,波河
62,"commune in Ille-et-Vilaine, France",Rennes,Q647,法国市镇,雷恩
63,"commune in Nord, France",Lille,Q648,法国市镇,里尔
64,one of the four cardinal directions,north,Q659,基本方位之一,北
65,cyclic water pump powered by hydropower,hydraulic ram,Q661,,液压千斤顶
66,form of language which applies ordinary grammatical structure and natural flow of speech,prose,Q676,,散文
67,country in Oceania,Vanuatu,Q686,,瓦努阿图
68,element with the atomic number of 17,chlorine,Q688,原子序为17的化学元素,氯
69,province of the Netherlands,South Holland,Q694,,南荷蘭省
70,element with the atomic number of 22,titanium,Q716,原子序数为22的化学元素,钛
71,chemical element with the atomic number of 23,vanadium,Q722,原子序数为23的化学元素,钒
72,Portuguese sandwich,Francesinha,Q732,,
73,grilled sandwich,croque-madame,Q746,用烤的 三明治,法式吐司
74,French tragedian,Pierre Corneille,Q747,,皮埃尔·高乃依
75,"capital city of the province of Groningen, the Netherlands",Groningen,Q749,,格罗宁根
76,kingdom of organisms,fungus,Q764,生物的界,真菌
77,state of the United States of America,Massachusetts,Q771,美国州份,麻薩諸塞州
78,country in Western Asia,Israel,Q801,西亚国家,以色列
79,capital city of the Swiss Canton of Vaud,Lausanne,Q807,瑞士城市,洛桑
80,Chilean politician,Gabriel Gonzáles Videla,Q815,,
81,republic in Southeast Asia,Laos,Q819,亚洲国家,老挝
82,Media franchise about a British spy,James Bond,Q844,英国特工系列作品,占士邦
83,"Soviet and Russian film-maker, writer, film editor, film theorist, theatre and opera director",Andrei Tarkovsky,Q853,,安德烈·塔尔科夫斯基
84,Classical Greek philosopher,Plato,Q859,古希腊哲学家,柏拉图
85,republic in Central Asia,Tajikistan,Q863,,塔吉克斯坦
86,constitutional monarchy in Southeast Asia,Thailand,Q869,东南亚国家,泰国
87,American actress,Meryl Streep,Q873,,梅麗·史翠普
88,monarchy in Southwest Asia,United Arab Emirates,Q878,西亞阿拉伯半島南部國家,阿拉伯联合酋长国
89,chemical element with the atomic number of 78,platinum,Q880,原子序数是78的化学元素,铂
90,"Russian city, the administrative center of Siberian Federal District",Novosibirsk,Q883,,新西伯利亚
91,capital of the Volga Federal District in Russia,Nizhny Novgorod,Q891,,下诺夫哥罗德
92,city in Russia,Omsk,Q898,,鄂木斯克
93,canal in Egypt between the Mediterranean Sea and the Red Sea,Suez Canal,Q899,,苏伊士运河
94,person that studies a science,scientist,Q901,使用科学方法做研究的人,科学家
95,volcano in Ethiopia,Erta Ale,Q903,,尔塔阿雷火山
96,fictional protagonist of the Half Life series of video games,Gordon Freeman,Q907,半條命系列電子遊戲的虛構主角,戈登·弗里曼
97,republic in West Africa,Mali,Q912,,马里共和国
98,country in Africa,Angola,Q916,,安哥拉
99,Croatian island,Brač,Q922,,布拉奇岛
100,color,yellow,Q943,颜色,黄色
101,"Polish politician, current President of the European Council",Donald Tusk,Q946,,唐納德·圖斯克
102,orientation along its horizontal axle parallel to the wall a roll of toilet paper is placed,toilet paper orientation,Q951,,捲筒式衛生紙的放置方向
103,town in the Italian province of Reggio Emilia,Reggiolo,Q952,意大利的一个市镇,雷焦洛
104,list of Wikimedia list articles,list of lists of lists,Q957,维基媒体列表条目,参考目录列表
105,Polish television series,Stakes Larger Than Life,Q961,,
106,recurring supporting character from the Polish television series More Than Life at Stake,Hermann Brunner,Q966,,
107,"town in North Rhine-Westphalia, Germany",Warburg,Q968,德国北莱茵-威斯特法伦州的一个市镇,瓦尔堡
108,"river in Russia, the second longest river in Asia",Ob,Q973,俄罗斯河流,鄂畢河
109,theme that spreads within a culture,meme,Q978,文化资讯传承时的单位,模因
110,international alpine skiing competition during northern winter,FIS Alpine Ski World Cup,Q982,,高山滑雪世界杯
111,Polish television series,Czterej pancerni i pies,Q990,,
112,Soviet nuclear physicist and human rights activist,Andrei Sakharov,Q997,,安德烈·德米特里耶维奇·萨哈罗夫
113,republic in West Africa,Sierra Leone,Q1044,西非國家,塞拉利昂
114,country in Northeast Africa,Sudan,Q1049,非洲国家,苏丹
115,Italian Marshal of the Air Force and minister,Italo Balbo,Q1056,,伊塔洛·巴尔博
116,set of chemical reactions and pathways by which living organisms transform chemical substances,metabolism,Q1057,,代谢
117,Indian politician,Narendra Modi,Q1058,,纳伦德拉·莫迪
118,"science that studies the terrestrial surface, the societies that inhabit it and the territories, landscapes, places or regions that form it when interacting with each other",geography,Q1071,,地理学
119,science fiction media franchise,Star Trek,Q1092,科幻系列,星际迷航
120,province of the Netherlands,Limburg,Q1093,,林堡省
121,element with the atomic number of 51,antimony,Q1099,原子序数为51的化学元素,锑
122,hypothetical chemical element with the atomic number 120,unbinilium,Q1146,尚未被发现的原子序数为120的化学元素,Ubn
123,Indian Prime Minister,Indira Gandhi,Q1149,,英迪拉·甘地
124,French Romantic composer,Hector Berlioz,Q1151,,埃克托·柏辽兹
125,Wikimedia disambiguation page,Limburg,Q1161,維基媒體消歧義頁,林堡省
126,quarter of the German city of Hamburg,Groß Borstel,Q1172,,
127,quarter of the German city of Hamburg,Hoheluft,Q1181,,
128,unincorporated territory of the United States,Puerto Rico,Q1183,美国属地,波多黎各
129,state of Germany,Saarland,Q1201,德国州份,萨尔
130,state of the United States of America,Illinois,Q1204,美国州份,伊利诺伊州
131,9th President of Italy,Oscar Luigi Scalfaro,Q1228,,奥斯卡·路易吉·斯卡尔法罗
132,chemical element with the atomic number of 105,dubnium,Q1232,原子序数为105的化学元素,𬭊
133,mountain range in the South-Western part of the Alps,Cottian Alps,Q1251,,科蒂安阿爾卑斯山脈
134,8th Secretary-General of the United Nations,Ban Ki-moon,Q1253,第八任联合国秘书长，前韩国外交通商长官,潘基文
135,7th Secretary-General of the United Nations,Kofi Annan,Q1254,加纳政治家，前联合国秘书长,科菲·安南
136,chemical element with atomic number 109,meitnerium,Q1258,原子序数为109的化学元素,鿏
137,"preparations of fruits, vegetables and sugar, often canned or sealed for long-term storage",fruit preserves,Q1269,,果酱
138,mountain range in the Western part of the Alps,Pennine Alps,Q1270,,本宁阿尔卑斯山脉
139,Canadian poet and singer-songwriter,Leonard Cohen,Q1276,加拿大诗人、歌手、作词家,里奥纳德·科恩
140,mountain range in the Central-Eastern Alps,Rhaetian Alps,Q1277,,里申阿爾卑斯山脈
141,top-level category of a Wikimedia project,Category:Contents,Q1281,维基媒体分类,Category:頁面分類
142,"city and county seat of Cook County, Illinois, United States",Chicago,Q1297,美国伊利诺伊州城市,芝加哥
143,chemical element with atomic number 113,nihonium,Q1301,原子序数为113的化学元素,Nh
144,Saudi Arabian founder of al-Qaeda,Osama bin Laden,Q1317,,奥萨马·本·拉登
145,Austrian and British economist,Friedrich Hayek,Q1325,奧地利和英國經濟學家和諾貝爾經濟學獎獲得者,弗里德里希·哈耶克
146,"Militar, Chilean politician and President",José Joaquín Prieto,Q1330,,
147,class of arthropods,Arachnida,Q1358,,蛛形纲
148,Indian state,Tripura,Q1363,,特里普拉邦
149,American game designer,Dave Arneson,Q1381,,大衛·亞耐森
150,German town in Schleswig-Holstein,Uetersen,Q1404,,于特森
151,Emperor of Ancient Rome,Otho,Q1416,,奧索
152,Emperor of Ancient Rome,Titus,Q1421,,提圖斯
153,team sport version of hockey played on grass or turf with sticks and a round ball,field hockey,Q1455,,曲棍球
154,"seat of Werra-Meißner-Kreis and town in Hesse, Germany",Eschwege,Q1468,,埃施韦格
155,longest river in France,Loire,Q1469,法国河流,卢瓦尔河
156,computing term with a variety of meanings,hacker,Q1487,,黑客
157,capital city of Mexico,Mexico City,Q1489,,墨西哥城
158,state of the United States of America,Mississippi,Q1494,美国州份,密西西比州
159,Indian state,Uttarakhand,Q1499,,北阿坎德邦
160,"commune in Rhône, France",Cublize,Q1504,法国市镇,
161,"German composer, conductor",Richard Wagner,Q1511,,理查德·瓦格纳
162,"city in Maharashtra, India",Nagpur,Q1513,,那格浦尔
163,"Roman Catholic cathedral in Lyon, France, and the seat of the Archbishop of Lyon",Lyon Cathedral,Q1521,,里昂主教座堂
164,state of the United States of America,New Mexico,Q1522,美国州份,新墨西哥州
165,traffic intersection,roundabout,Q1525,,环岛
166,the founding Pharaoh of Ancient Egypt's Nineteenth Dynasty,Ramesses I,Q1526,,拉美西斯一世
167,"capital and centre of the Greater Caracas Area, Venezuela",Caracas,Q1533,委內瑞拉首都,加拉加斯
168,"quarter of Hamburg, Germany",Finkenwerder,Q1562,,芬克威尔德
169,"quarter in Hamburg-Mitte, Hamburg, Germany",Billstedt,Q1565,,
170,antivirus computer program,Avast Antivirus,Q1574,,Avast Antivirus
171,"quarter in Altona, Hamburg, Germany",Blankenese,Q1607,,白沙岛
172,"quarter in the Eimsbüttel borough of Hamburg, Germany",Eimsbüttel,Q1611,,
173,city of the Philippines in Metro Manila,Valenzuela,Q1623,,巴伦苏埃拉
174,city of the Philippines and capital of the province of Rizal,Antipolo,Q1636,,安蒂波洛
175,Italian sports official and IAAF president,Primo Nebiolo,Q1638,,普里奥里莫·内比奥罗
176,"quarter of Hamburg, Germany",Bergstedt,Q1641,,
177,major river in Central Europe,Elbe,Q1644,中歐主要河流,易北河
178,Ethiopian long-distance runner,Dejen Gebremeskel,Q1672,,
179,right tributary of Rhine river in Germany,Neckar,Q1673,德国河流,内卡河
180,Kenyan long-distance runner,Abel Mutai,Q1681,,
181,marginal Sea of the Atlantic Ocean,North Sea,Q1693,,北海
182,city of the Philippines in the province of Albay,Tabaco,Q1706,,塔瓦科
183,"city in Schleswig-Holstein, Germany",Kiel,Q1707,,基尔
184,capital city of the German state of Brandenburg,Potsdam,Q1711,,波茨坦
185,Guatemalan racewalker,Erick Barrondo,Q1712,,埃里克·巴隆多
186,capital city of the German federated state of North Rhine-Westphalia,Düsseldorf,Q1718,德國北萊茵-威斯伐倫州首府,杜塞尔多夫
187,capital of the German state of Hesse,Wiesbaden,Q1721,,威斯巴登
188,capital of the German state of Saarland,Saarbrücken,Q1724,,萨尔布吕肯
189,British high jumper,Robert Grabarz,Q1738,,
190,administrative unit of the Russian Empire,Samara Governorate,Q1746,,薩馬拉省
191,federal subject of Russia,Kaliningrad Oblast,Q1749,,加里宁格勒州
192,Polish shot putter,Tomasz Majewski,Q1755,,托马什·马耶夫斯基
193,"capital of Finland, and city in Uusimaa, Finland",Helsinki,Q1757,芬兰首都,赫尔辛基
194,federal subject of Russia,Murmansk Oblast,Q1759,,摩爾曼斯克州
195,American decathlete,Ashton Eaton,Q1789,,阿什顿·伊顿
196,"quarter in Hamburg, Germany",Eilbek,Q1807,,
197,Roman emperor,Gordian III,Q1812,,戈爾迪安三世
198,"quarter in the borough Wandsbek of Hamburg, Germany",Poppenbüttel,Q1818,,汉堡-波彭比特尔
199,"quarter in Rahlstedt, Germany",Rahlstedt,Q1820,,
200,element with the atomic number of 64,gadolinium,Q1832,原子序数为64的化学元素,钆
201,"quarter in Hamburg, Germany",Wohldorf-Ohlstedt,Q1837,,
202,"West Germanic language originating in England with linguistic roots in French, German and Vulgar Latin",English,Q1860,起源於英格蘭的一種語言,英语
203,province of Indonesia,Bangka Belitung Islands,Q1866,,邦加-勿里洞省
204,strategic board game,Diplomacy,Q1871,,外交
205,province of Indonesia,Bengkulu,Q1890,,明古魯省
206,French association football player,Olivier Giroud,Q1911,,奥利弗·吉鲁
207,French association football player,Yann M'Vila,Q1925,,扬·姆维拉
208,French association football player,Sidney Govou,Q1934,,西德尼·戈武
209,French association football player,Djibril Cissé,Q1936,,贾布里勒·西塞
210,French association football player,Bacary Sagna,Q1938,,巴卡雷·萨尼亚
211,Wikimedia list article,moons of Jupiter,Q1946,维基媒体列表条目,木星的卫星
212,Austrian alpine skier,Hermann Maier,Q1956,,
213,"commune in the metropolis of Lyon, France",Givors,Q1976,法国市镇,吉沃尔
214,"commune in Rhône, France",Rivolet,Q1977,法国市镇,里沃雷
215,year,2002,Q1987,年,2002年
216,year,2009,Q1996,年,2009年
217,province of Canada,Newfoundland and Labrador,Q2003,加拿大省,紐芬蘭-拉布拉多
218,"railway station in Lyon, France",Gare de Lyon-Vaise,Q2011,,里昂韦斯站
219,year,2005,Q2019,年,2005年
220,"commune in Rhône, France",Chambost-Allières,Q2026,法国市镇,尚波阿利耶尔
221,"history of the city of Lyon, France",history of Lyon,Q2029,,里昂歷史
222,one of three districts of the Grand Duchy of Luxembourg,Luxembourg District,Q2032,,盧森堡區
223,Wikimedia list article,bridges of Lyon,Q2041,维基媒体列表条目,
224,common year starting on Tuesday,1907,Q2048,年,1907年
225,common year starting on Monday,1906,Q2049,年,1906年
226,"Italian association football club based in Florence, Tuscany founded in 1926",ACF Fiorentina,Q2052,,佛罗伦萨足球俱乐部
227,common year starting on Friday,1909,Q2057,年,1909年
228,"railway station Lyon, France",Gare de Lyon-Gorge-de-Loup,Q2059,,
229,year,1993,Q2065,年,1993年
230,year,1996,Q2070,年,1996年
231,"federal subject of Russia, republic of Russia",Komi Republic,Q2073,俄罗斯联邦主体,科米共和国
232,year,1912,Q2077,年,1912年
233,year,1999,Q2091,年,1999年
234,"capital city of province of Alberta, Canada",Edmonton,Q2096,加拿大艾伯塔省省會,埃德蒙顿
235,"city in North Rhine-Westphalia, Germany",Duisburg,Q2100,在德國北萊茵 - 威斯特伐利亞州的城市,杜伊斯堡
236,French statesman and official,Jacques Chirac,Q2105,法国政治人物,雅克·希拉克
237,administrative division in Chile,Arica y Parinacota Region,Q2109,,阿里卡和帕里纳科塔大区
238,administrative division in Chile,Tarapacá Region,Q2114,,塔拉帕卡大区
239,"city in Baden-Württemberg, Germany",Mannheim,Q2119,,曼海姆
240,"capital city of province of British Columbia, Canada",Victoria,Q2132,加拿大不列颠哥伦比亚省首府,维多利亚
241,"town in Vologda Oblast, Russia",Totma,Q2137,,托季馬
242,"Fictional character and protagonist in the anime and manga franchise ""DragonBall"".",Son Goku,Q2142,,孙悟空
243,main body of the executive branch of government in the Soviet Union,Government of the Soviet Union,Q2148,,蘇聯部长会议
244,Wikimedia disambiguation page,XXX,Q2149,维基媒体消歧义页,XXX
245,date,January 2,Q2151,日期,1月2日
246,year,1922,Q2165,年,1922年
247,city in the north of Russia,Naryan-Mar,Q2174,俄罗斯城镇,纳里扬马尔
248,President of France,Georges Pompidou,Q2185,,乔治·蓬皮杜
249,French comedian and actor,Coluche,Q2190,,克勞奇
250,bitmap image file format family,Graphics Interchange Format,Q2192,位图图像文件格式的家族,图形交换格式
251,city of the Philippines in the province of Camarines Sur,Iriga,Q2205,,
252,city of the Philippines in the province of Camarines Sur,Naga,Q2207,,那牙
253,Chilean municipality and commune,Alto Hospicio,Q2217,,上霍斯皮西奧
254,"municipality in Telemark county, Norway",Nissedal,Q2229,,尼瑟達爾
255,"municipality in the district of Fürth, in Bavaria, Germany",Langenzenn,Q2230,,兰根岑
256,"municipality in Telemark county, Norway",Seljord,Q2236,,賽爾尤爾
257,date,January 9,Q2238,日期,1月9日
258,"town and suburb of Copenhagen, Denmark",Kongens Lyngby,Q2239,,孔恩斯灵比
259,"municipality in Telemark county, Norway",Tokke,Q2241,,托克
260,date,January 10,Q2243,日期,1月10日
261,date,January 13,Q2255,日期,1月13日
262,date,January 17,Q2264,日期,1月17日
263,"municipality in Telemark county, Norway",Skien,Q2272,,希恩
264,date,January 23,Q2276,日期,1月23日
265,primary antagonist and titular character of J. R. R. Tolkien's The Lord of the Rings,Sauron,Q2281,,索倫
266,nucleon (constituent of the nucleus of the atom) that has positive electric charge; symbol p,proton,Q2294,,質子
267,date,December 8,Q2301,日期,12月8日
268,date,February 5,Q2319,日期,2月5日
269,date,February 12,Q2336,日期,2月12日
270,1957 American drama film by Sidney Lumet,12 Angry Men,Q2345,1957年美国电影,十二怒汉
271,date,February 28,Q2362,日期,2月28日
272,"quarter in Hamburg, Germany",Altengamme,Q2380,,
273,date,March 4,Q2396,日期,3月4日
274,date,March 10,Q2397,日期,3月10日
275,single released by Enrique Iglesias,¿Dónde Están Corazón?,Q2406,,
276,"suburb in the district Bergedorf, Germany",Hamburg-Reitbrook,Q2418,,
277,city in the center of European Russia,Yaroslavl,Q2423,,雅罗斯拉夫尔
278,date,March 19,Q2424,日期,3月19日
279,date,March 22,Q2435,日期,3月22日
280,first expansion pack to the video game Heroes of Might and Magic V,Heroes of Might and Magic V: Hammers of Fate,Q2470,,
281,capital city of Yemen,Sana'a,Q2471,,萨那
282,year,1970,Q2474,年,1970年
283,year,1971,Q2475,年,1971年
284,year,1973,Q2477,年,1973年
285,war principally fought in Central Europe from 1618 to 1648,Thirty Years' War,Q2487,,三十年戰爭
286,German politician,Ludwig Erhard,Q2496,,路德维希·艾哈德
287,date,April 13,Q2498,日期,4月13日
288,comic book series,Kick-Ass,Q2515,,特攻聯盟
289,former chancellor of West Germany (1982-1990) and then the united Germany (1990-1998),Helmut Kohl,Q2518,德国政治家,赫尔穆特·科尔
290,chemical compound,potassium bromide,Q2546,化合物,溴化钾
291,date,May 15,Q2562,日期,5月15日
292,Governing Mayor of West Berlin and President of the Federal Republic of Germany,Richard von Weizsäcker,Q2567,,里夏德·馮·魏茨澤克
293,date,May 16,Q2574,日期,5月16日
294,East German politician,Willi Stoph,Q2610,,维利·斯多夫
295,date,June 5,Q2622,日期,6月5日
296,date,December 22,Q2636,日期,12月22日
297,main-belt asteroid,10 Hygiea,Q2640,小行星,健神星
298,year,1968,Q2644,年,1968年
299,year,1965,Q2650,年,1965年
300,form of entropy encoding used in lossless data compression,Arithmetic coding,Q2651,,算术编码
301,date,June 25,Q2662,日期,6月25日
302,date,June 23,Q2668,日期,6月23日
303,professional Italian association football club,Unione Sportiva Città di Palermo,Q2674,,巴勒莫足球俱樂部
304,German Emperor and King of Prussia,Wilhelm II,Q2677,德意志帝國皇帝和普魯士國王,威廉二世 (德国)
305,city in the northern Italian region of Emilia-Romagna,Parma,Q2683,意大利市镇,帕尔马
306,date,July 1,Q2700,日期,7月1日
307,moment in time used as a reference point for some time-varying astronomical quantity,epoch,Q2703,,曆元
308,data compression algorithm,Implode,Q2711,,
309,date,July 31,Q2715,日期,7月31日
310,"city in Tuscany, Italy and capital of the province of Siena",Siena,Q2751,意大利的一个市镇,锡耶纳
311,Italian football club,Robur Siena,Q2756,,錫耶納足球俱樂部
312,date,August 15,Q2774,日期,8月15日
313,date,August 8,Q2780,日期,8月8日
314,"town in North Rhine-Westphalia, Germany",Telgte,Q2789,,泰尔格特
315,date,December 27,Q2800,日期,12月27日
316,"municipality in North Rhine-Westphalia, Germany",Everswinkel,Q2809,,埃费尔斯温克尔
317,federal subject of Russia,Bryansk Oblast,Q2810,,布良斯克州
318,date,August 23,Q2821,日期,8月23日
319,date,September 10,Q2853,日期,9月10日
320,date,September 2,Q2857,日期,9月2日
321,date,September 1,Q2859,日期,9月1日
322,date,September 3,Q2860,日期,9月3日
323,district in Germany,Nordwestmecklenburg District,Q2876,,西北梅克伦堡县
324,date,September 28,Q2883,日期,9月28日
325,date,September 27,Q2884,日期,9月27日
326,date,September 22,Q2889,日期,9月22日
327,date,December 30,Q2901,日期,12月30日
328,German district,Mecklenburgische Seenplatte District,Q2902,,梅克伦堡湖区县
329,"Tramway in Lyon, France",Lyon Tramway Line 1,Q2903,,
330,date,October 11,Q2927,日期,10月11日
331,date,October 6,Q2928,日期,10月6日
332,date,October 5,Q2930,日期,10月5日
333,capital of Paraguay,Asunción,Q2933,巴拉圭首都,亞松森
334,young of domestic cattle,calf,Q2935,,牛犊
335,German district,Dithmarschen,Q2947,,迪特马尔申县
336,date,October 28,Q2952,日期,10月28日
337,German district,Plön District,Q2970,,普伦县
338,ability of individuals to have agency,liberty,Q2979,,自由
339,date,November 13,Q2984,日期,11月13日
340,date,November 1,Q2997,日期,11月1日
341,capital of Suriname,Paramaribo,Q3001,,帕拉马里博
342,German district,Steinburg,Q3011,,斯坦堡县
343,date,November 29,Q3016,日期,11月29日
344,date,November 20,Q3024,日期,11月20日
345,date,November 22,Q3025,日期,11月22日
346,date,November 16,Q3029,日期,11月16日
347,American conductor,Mack Wilberg,Q3036,,
348,Slow-cooked French casserole,Cassoulet,Q3039,,卡酥來砂鍋
349,ancient Roman aqueduct,Aqueduct of the Gier,Q3067,,
350,Ancient aqueduct in France,Aqueduc de l'Yzeron,Q3078,,
351,French department,Aisne,Q3093,法国省份,埃纳省
352,early 18th century Swedish officer,Georg Henrik Lybecker,Q3098,,
353,bronze tablet engraved with a speech by roman emperor Claudius,Lyon Tablet,Q3108,,
354,2nd century Roman mosaic,Circus Games Mosaic,Q3155,,
355,Polish church,Protestant church in Ozimek,Q3181,,
356,sporting event,2012 Rhythmic Gymnastics European Championships,Q3190,,
357,"castle in Barcaldine, Scotland",Barcaldine Castle,Q3202,,
358,locality and former civil parish in Portugal,Covões,Q3213,,
359,French department in Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Q3240,法国省份,罗讷河口省
360,U.S. Representative,Elisha E. Meredith,Q3251,,
361,Baltic Sea island,Usedom,Q3255,,乌瑟多姆岛
362,Australian-born British composer and conductor,Hubert Clifford,Q3260,,
363,"church in Kilmun on the Cowal Peninsula, Scotland",St Munn's Parish Church,Q3262,,
364,Wikimedia disambiguation page,Robert Rose,Q3263,維基媒體消歧義頁,
365,history of the exploration of planet Jupiter,exploration of Jupiter,Q3276,,木星探測
366,Wikimedia category,Category:Slovak architects,Q3313,维基媒体分类,
367,"river in Schleswig-Holstein, Germany",Eider,Q3314,,艾德河
368,Japanese actress,Yukiko Kobayashi,Q3319,,小林夕岐子
369,city in the south of Russia,Belgorod,Q3323,俄罗斯城市,别尔哥罗德
370,"commune in Hautes-Pyrénées, France",Lourdes,Q3327,法国市镇,盧爾德
371,federal subject of Russia,Belgorod Oblast,Q3329,,别尔哥罗德州
372,road tunnel in Lyon,tunnel de la Croix-Rousse,Q3331,,
373,"arrondissement of Lyon, France",2nd arrondissement of Lyon,Q3344,,里昂第二区
374,largest moon of Neptune,Triton,Q3359,,海卫一
375,German violinist,Anne-Sophie Mutter,Q3374,,安娜-苏菲·穆特
376,French department,Eure-et-Loir,Q3377,法国省份,厄尔-卢瓦尔省
377,"river in the Northwest Territories of Canada, tributary of the Mackenzie River",North Nahanni River,Q3439,,
378,genus of cichlid fishes,Chaetobranchus,Q3460,,鬃鳃鱼属
379,"quarter in Hamburg, Germany",Harburg,Q3489,,汉堡-哈尔堡
380,Wikimedia category,Category:R.E.M. albums,Q3493,维基媒体分类,
381,Italian comune,Grauno,Q3502,意大利市镇,格劳诺
382,river in central Africa,Congo,Q3503,,刚果河
383,species of fish,Crenicichla tigrina,Q3516,,虎纹矛丽鱼
384,"suburb in the district Harburg, Germany",Sinstorf,Q3534,,
