id,zh_label,en_label,zh_description,en_description
P1537,,contributing factor of,,thing that is significantly influenced by this cause, but does not directly result from it.  See 'Help:Modeling causes' for examples and discussion.
P1545,系列序號,series ordinal,在序列中所處的序號，其值通常為數字,position of an item in its parent series, generally to be used as a qualifier. Different from "rank"
P1552,擁有特性,has quality,該實體的固有性質或可辨別的非物質特徵,the entity has an inherent or distinguishing non-material characteristic
P1556,數學文摘作者標識符,zbMATH author ID,數學文摘數據庫中個人的標識符,identifier of a person in the Zentralblatt MATH database
P1558,拍速标记,tempo marking,,indication about the speed or pace of a given musical piece
P1566,地理名字库编号,GeoNames ID,地理名字庫地理數據庫中的標識符,identifier in the GeoNames geographical database
P1594,法官,judge,主审该案的法官、地方法官或同等人士,Judge, magistrate or equivalent, presiding at a trial
P1600,,Inventari del Patrimoni Arquitectònic de Catalunya code,,identifier for an architectural property in Catalonia. max. 5-digit numeric
P1606,,natural reservoir of,,pathogen of which this species is a long-term host
P1632,,Hermann-Mauguin notation,,Hermann-Mauguin notation of the mineral's symmetry element (short form)
P1635,宗教姓名,religious name,被視為或被用作宗教團體成員的名稱,name taken or used as a member of a religious community
P1641,,port,,default communication endpoint in TCP, UDP, or other transport protocol
P1654,,wing configuration,,configuration of wing(s) used by an aircraft
P1693,,Terminologia Embryologica,,standardized list of words used in the description of human embryologic and fetal structures
P1695,,NLP ID,,identifier for authority control per the National Library of Poland. Format: "A", 7 digits, "X" or another digit.
P1712,,Metacritic ID,標識符,identifier for Metacritic
P1715,,RKD/ESD (Slovenia) ID,,reference number of intangible cultural heritage of Slovenia (EID)
P1716,品牌,brand,,brand of a product
P1721,汉语拼音转写,pinyin transliteration,,hanyu pinyin transliteration of a pinyin text (usually to be used as a qualifier)
P1732,,Naturbase ID,,identifier in the Naturbase database published by the Norwegian Environment Agency
P1734,,oath of office date,,when person swore the oath of office
P1738,,Merck Index monograph,,URL stem of page in The Merck Index Online
P1743,,Bradley and Fletcher checklist number,,reference for a species in the Bradley and Fletcher checklist of British lepidoptera
P1746,動物園銀行名稱或命名行為標識符,ZooBank ID for name or act,動物園銀行上的名稱或命名行為的標識符,identifier for a name or nomenclatural act at ZooBank
P1747,,Flora of China ID,,identifier for a taxon in Flora of the People's Republic of China
P1748,,NCI Thesaurus ID,,identifier in the United States National Cancer Institute Thesaurus, vocabulary for clinical care, translational and basic research, etc
P1769,,denkXweb identifier,,identifier in the  online database for cultural heritage monuments in the German state of Hesse
P1770,,Romania LMI code,,identifier in 'Lista monumentelor istorice din România' (Romanian heritage sites)
P1775,,follower of,,for unknown artists who work in the manner of the named artist
P1782,表字,courtesy name,汉字文化圈传统上在本名之外的一个正式代称,name bestowed upon a person at adulthood in addition to one's given name, mostly in East Asia
P1792,相关人物分类,category of associated people,維基媒體類別適用於與此地點相關的人員,Wikimedia category for people associated with this place
P1794,,bureau du patrimoine de Seine-Saint-Denis ID,,identifier in the atlas-patrimoine93.fr website
P1803,,Masaryk University person ID,,identifer for a person affiliated with Masaryk University (staff, alumnus, student…)
P1831,选民数,electorate,某地区已登记的选民人数,set of persons qualified to vote during elections
P1837,高楼迷编码,Gaoloumi ID,,identifier for a building in the Gaoloumi database
P1842,,Global Anabaptist Mennonite Encyclopedia Online ID,,identifier for Global Anabaptist Mennonite Encyclopedia Online
P1843,生物俗名,taxon common name,,common or vernacular name of a biological taxon
P1868,实际投票数,ballots cast,包含有效票和废票数目的投票总数,total number of ballot(s) cast, including invalid or blank ballots
P1873,,maximum number of players,,maximum numbers of players of a game
P1876,船只,vessel,事件涉及的船只,vessel involved in this mission, voyage or event
P1882,,Web Gallery of Art ID,,identifier for an artist in the Web Gallery of Art
P1907,,Australian Dictionary of Biography ID,,article about the person in the Australian Dictionary of Biography
P1917,,posttranslational modification association with,,This property should link a gene and a disease due to an altered posttranslational modification
P1933,mobygames标识符,MobyGames ID,,identifier for MobyGames
P1935,,Database of Classical Scholars ID,,identifier for persons in the Database of Classical Scholars
P1937,,UN/LOCODE,,geographic location code mantained by UNECE
P1940,,conifers.org ID,,identifier for a taxon in the conifers.org database
P1947,Mapillary編號,Mapillary ID,,ID for a photo on Mapillary, a service for crowdsourcing map photos
P1961,,CTHS society ID,,identifier of Comité des travaux historiques et scientifiques
P1969,荷兰电影仪表导演编号,MovieMeter director ID,荷蘭電影儀表電影數據庫中人物的標識符,identifier for a person on the MovieMeter film database
P1978,,USDA NDB number,,identifier for a food item in the United States Department of Agriculture National Nutrient Database
P1980,,PolSys ID,,identifier for a person in the PolSys database of Norwegian politicians
P1983,ANN公司ID,Anime News Network company ID,,identifier of a company on animenewsnetwork.com
P2005,,Catalogus Professorum Halensis,,biographical entry in the Catalogus Professorum Halensis
P2007,,ZooBank publication ID,,identifier for a publication at ZooBank
P2019,,AllMovie artist ID,,identifier for a person on the AllMovie film database
P2037,GitHub使用者名稱,GitHub username,GitHub上此項目，個人或組織的用戶名,username of this project, person or organization on GitHub
P2052,速度,speed,,magnitude of the velocity of the item
P2053,,watershed area,,size of a stream's watershed (drainage basin)
P2081,,BLDAM object ID,,Object ID to identify cultural heritage monuments in Brandenburg, Germany
P2107,,decomposition point,,decomposition point of a substance
P2117,,combustion enthalpy,,enthalpy difference of a substance for combustion
P2125,修订平文式罗马字,Revised Hepburn romanization,,romanized Japanese following the Revised Hepburn romanization system
P2131,名义GDP,nominal GDP,名义国内生产总值,market value of all officially recognized final goods and services produced within a country in a given period of time
P2133,,total debt,,amount of debt for a company, organization or public entity
P2152,,antiparticle,,particle with the same rest mass and opposite charges
P2165,,SIGIC group ID,,SIGIC - Slovenian Music Information Center (property for music group)
P2169,,PublicWhip ID,,identifer in the PublicWhip database of British MPs
P2172,,Parliamentary record identifier,,Parliamentary record identifier for British MPs
P2173,,BBC News Democracy Live ID,,Identifer in the BBC News Democracy Live database of British MPs
P2179,,ACM Classification Code (2012),,ACM Computing Classification Code of 2012 (8 digits)
P2180,芬蘭國家傳記標識符,Kansallisbiografia ID,芬蘭國家傳記數據庫條目的代碼,code of the entry on the Kansallisbiografia database
P2182,,Finnish Ministers database ID,,code of the entry on the Finnish ministers database
P2189,,BiblioNet publisher ID,,identifier in the BiblioNet database of publishers
P2191,,NILF author id,,numeric author identifier within the Vegetti Catalog of Fantastic Literature
P2193,,Soccerbase player ID,,player ID on the Soccerbase.com website
P2197,,production rate,,amount of produced in a given time
P2200,,electric charge,,electric charge of a subatomic particle
P2208,,average shot length,,cinemetrical measure
P2209,資源鍛造項目,SourceForge project,一個軟件產品的官方資源鍛造存儲庫（“項目”）的標識符,identifier for an official SourceForge repository ("project") for a software product
P2248,,argument of periapsis,,angle from the body's ascending node to its periapsis
P2253,,DfE URN,,Department for Education Unique Reference Number; school identifier used by the UK government
P2254,,maximum operating altitude,,ceiling or maximum density altitude at which an aircraft can operate
P2257,事件频率,frequency of event,事件发生的频率,standard nominal interval between scheduled or regularly recurring events. Include unit of time, e.g. "year" (Q577)
P2258,行動裝置國家代碼,mobile country code,,identifier for countries in ITU-T Recommendation E.212 for use in describing mobile networks
P2267,,PolitiFact Personality ID,,person or group whose statements have been fact checked by PolitiFact.com
P2278,,Member of the Hellenic Parliament ID,,an identifier for members, or former members, of the national parliament of Greece
P2279,,ambitus,,musical interval/range of a melody
P2283,使用,uses,使用的对象,item or concept used by the subject or in the operation
P2294,經常收支,balance of trade,,exports minus imports. not to be confused with current account balance and balance of payments
P2307,命名空間,namespace,限定符與P2302一起定義屬性約束（維基數據屬性約束）,qualifier to define a property constraint in combination with P2302 (Wikidata property constraint)
P2312,最大数值,maximum value,,qualifier to define a property constraint in combination with P2302. "no value" can be used to specify no upper bound
P2324,,quantity buried,,number of remains buried or interred
P2327,,ProCyclingStats race ID,,
P2346,,Elonet movie ID,,identifier for a movie in the Elonet database
P2355,,UNESCO Atlas of the World's Languages in Danger ID,,identifier for endangered languages listed by UNESCO
P2359,,Roman nomen gentilicium,,standard part of the name of a Roman, link to items about the Roman gens only
P2379,,deprecated in version,,software version it was deprecated in
P2383,,CTHS person ID,,identifier for a person in the directory of French learned societies
P2392,,teaching method,,teaching method adopted by an educational institution
P2403,资产总值,total assets,,value of assets held by a private or public entity
P2408,時代背景,set in period,历史或未来时期的作品的設定,historical, contemporary or future period the work is set in
P2410,,WikiPathways ID,,describes in which biological pathways a biological entity occurs
P2412,時裝模特兒指南設計師標識符,FMD designer ID,到時裝模特兒指南網站上的設計師檔案的外部鏈接,external link to a designer's profile at the FMD (Fashion Model Directory) website
P2427,全球研究標識符數據庫標識符,GRID ID,來自全球研究標識數據庫的機構標識符,institutional identifier from the GRID.ac global research identifier database
P2437,季度数,number of seasons,電視節目系列或廣播系列的季節數,number of seasons a television or radio series has had
P2453,,nominee,,qualifier used with «nominated for» to specify which person or organization was nominated
P2454,,KNAW past member ID,,identifier for a person in the Royal Netherlands Academy of Arts and Sciences past member database
P2459,,IBU biathlete ID,,biathlete's identifier in the International Biathlon Union's database
P2462,,member of the deme,,
P2468,,Theatricalia theatre ID,,identifier for a theatre, in the theatricalia.com database
P2481,,Elite Prospects player ID,,ice hockey player ID assigned by Elite Prospects
P2482,,SABR person ID,,identifier of a person in the Society for American Baseball Research database
P2483,,NCES District ID,,identifier for a school district or education agency in the United States
P2499,,league level above,,the league above this sports league
P2532,最低气压,lowest atmospheric pressure,,minimum pressure measured or estimated for a storm (a measure of strength for tropical cyclones)
P2538,,Nationalmuseum Sweden artist ID,,artist identifier for Nationalmuseum in Sweden
P2547,周长,perimeter,,linear distance around the outside of an object
P2555,,fee,,fee or toll payable to use, transit or enter the subject (only for one-time fees, do NOT use it for an ongoing fee, tuition fee or trading fee)
P2559,维基数据使用说明,Wikidata usage instructions,,text describing how to use a property or item. Eventually, this statement is to replace usage instructions currently found in description. Until the corresponding feature is implemented, do not remove it from description.
P2561,名称,name,名稱主題是已知的。 如果有更具體的屬性，請使用它,name the subject is known by. If a more specific property is available, use that
P2564,,Köppen climate classification,,indicates the characteristic climate of a place
P2567,,amended by,,document is amended by specified other document
P2572,推特主题标签,Twitter hashtag,與此實體關聯的推特主題標籤。 格式：不包括“＃”符號,Twitter hashtag associated with this entity. Format: do not include the "#" symbol
P2574,,National-Football-Teams.com player ID,,identifier for a football player, at National-Football-Teams.com
P2575,,measures,,physical quantity that this device measures
P2583,,distance from Earth,,estimated distance to astronomical objects
P2587,,has phoneme,,the language's phonology includes this sound
P2597,,Gram staining,,Gram stain type of a bacterial strain
P2599,,block size,,size of block for this block cipher or hash function
P2606,戲驛唯一标识符,PlayStation ID,索尼计算机娱乐公司指定的PlayStation软件和硬件的唯一标识符,unique identifier of PlayStation software and hardware assigned by Sony Computer Entertainment Inc.
P2619,,Hungarian company ID,,identifier for a company in the company register of Hungary
P2624,,MetroLyrics ID,,identifier for a song or artist at the MetroLyrics website
P2641,,Davis Cup player ID,,identifier for a tennis player, in the Davis Cup database
P2657,,EU Transparency Register ID,,identity code for an organisation, in the transparency register of the European Union
P2685,,Basketball-Reference.com NBA player ID,,identifier for a NBA player on the Basketball Reference website
P2702,,dataset distribution,,particular manner of distribution of a data set (database or file) that is publicly available
P2723,,Deezer album ID,,identifier for an album or single on Deezer
P2725,,GOG application ID,,identifier for an application (or film) available from the distribution platform GOG.com
P2752,,New Zealand Organisms Register ID,,identifier for a taxon names in the New Zealand Organisms Register
P2772,,FIS alpine skier ID,,identifier for an alpine skier, in the International Ski Federation database
P2773,,FIS cross-country skier ID,,identifier for a cross-country skier, in the International Ski Federation database
P2775,,FIS ski jumper ID,,identifier for a ski jumper, in the International Ski Federation database
P2783,丹麥上市建築案例標識符,Danish listed buildings case ID,丹麥上市建築案例編號,case number of a listed building in Denmark
P2789,,connects with,,item with which the item is physically connected
P2793,,clearance,,distance between surface under bridge and bottom of a bridge deck
P2804,,World Sailing member ID,,member identifier for a sailor in the World Sailing database
P2809,,Australasian Pollen and Spore Atlas Code,,identifier for a pollen or spore in the Australasian Pollen and Spore Atlas, managed by the Australian National University
P2810,,LPGA Tour golf player ID,,identifier for a golf player, in the LPGA database
P2821,,by-product,,product of a chemical or industrial process, of secondary economic value
P2823,,Royal Belgian Football Association player ID,,identifier for a player, on the official Belgian football federation website
P2826,,Megogo ID,,identifier for the film in the database Megogo
P2839,,gait,,gait of an animal
P2843,,Benezit ID,,identifier in Benezit Dictionary of Artists
P2848,無線局域網,Wi-Fi access,通過無線局域網訪問互聯網,internet access availability through Wi-Fi
P2855,,VAT-rate,,percentage value-added tax in this country or region. Do not use for sales tax. For specialised rates, use qualifiers
P2896,出版频率,publication interval,期刊报纸的出版频率,standard publication interval for daily or periodical publications
P2928,,memory capacity,,memory storage capacity of some data storage device
P2945,,British Book Trade Index ID,,identifier for an individual or business entity listed in the  University of Oxford's Bodleian Libraries' British Book Trade Index database
P2950,,Nomisma ID,,identifier in Nomisma.org, a linked open data thesaurus of numismatic concepts
P2952,,boat of heritage interest ID,,identifier of a ship
P2970,,Kinopolis film ID,,identifier for films in the German Kinopolis database
P2971,,GCatholic church ID,,ID of a church on GCatholic.org
P2972,,SNAP ID,,identifier for an ancient person, in the SNAP project
P2974,,habitat,,the natural environment in which an organism lives, or the physical environment that surrounds a species population
P3000,法定结婚年龄,marriageable age,一般法律许可最小结婚年龄,性别不同，法定结婚年龄也不同。,minimum age at which a person is generally allowed by law to marry. Use qualifier "applies to part" (P518), to specify if it applies only to males (Q6581097), females (Q6581072) or both genders (Q27177113)
P3005,,valid in place,,place where a statement is valid
P3015,,backup or reserve team or crew,,team or crew that is kept ready to act as reserve
P3016,,French national research structure identifier,,identifier in the French national research structure repertory
P3033,软件包管理系统,package management system,包管理系统用于发布软件,package management system used to publish the software
P3038,,IWM memorial ID,,identifier for a war memorial, in the UK Imperial War Museum's War Memorials Register
P3039,,wheelbase,,distance between centers of front wheel and rear wheel
P3040,聲雲標識符,SoundCloud ID,聲雲上的個人，樂隊，廣播電台或其他實體的標識符,identifier for a person, band, radio station or other entity, on SoundCloud
