,en_description,en_label,id,zh_description,zh_label
68,"identifier in the Lexicon istoric retic (LIR), Romansh variant of Historical Dictionary of Switzerland",Lexicon istoric retic ID,P886,瑞士歷史辭典，是一部關於瑞士歷史的百科全書，建立目的是為了將現代歷史研究成果展現給大眾。,LIR
69,identifier for a species in FishBase,FishBase species ID,P938,,
70,"identifier from the authority file of the Biblioteca Nacional de España. Format for persons: ""XX"" followed by 4 to 7 digits",BNE ID,P950,,BNE编码
71,"identifier for a book (edition), ten digit",ISBN-10,P957,一本書（版）的標識符，十位數,ISBN-10
72,identifier per MycoBank - a database that provides an authoritative and comprehensive list of names of fungi,MycoBank taxon name ID,P962,,
73,identifier for municipalities in Austria,Austrian municipality key,P964,,
74,"guest(s) of honor invited to an event, e.g. a convention",guest of honor,P967,,
75,"BAG code for Dutch residencies (""woonplaats"", mostly municipalities)",BAG residence ID,P981,,
76,configuration of an engine's cylinders,engine configuration,P1002,发动机汽缸的配置,引擎配置
77,identifier from the Dutch National Thesaurus for Author names,National Thesaurus for Author Names ID,P1006,,NTA识别码（荷兰）
78,type of asteroid classification,asteroid taxonomy,P1016,,
79,Spanish classification of occupations CNO-11 maintained by the Spanish INE (Instituto Nacional de Estadística),CNO-11 occupation code,P1022,,
80,identifier in the French union catalog (see also P269),SUDOC editions,P1025,法國聯合目錄中的標識符（另見P269）,大学文档系统版本
81,person or organization who awards a prize to or bestows an honor upon a recipient,conferred by,P1027,向收件人頒發獎品或授予榮譽的人或組織,颁发者
82,person that participated operating or serving aboard this vehicle,crew member,P1029,,机组人员
83,way an exoplanet was discovered,discovery method,P1046,發現一顆系外行星的方式,发现方法
84,identifer for the person on catholic-hierarchy.org,Catholic Hierarchy person ID,P1047,,
85,chromosome on which an entity is localized,chromosome,P1057,一個實體所在的染色體,染色体
86,person who has taught this person,student of,P1066,传授技艺者,老师
87,file format a program can create and/or write to,writable file format,P1073,,
88,HDI value of a country,Human Development Index,P1081,一個國家的人类发展指数值,人类发展指数
89,identifier for a book (edition) in the Egyptian union catalog,EUL editions,P1084,,
90,number of tracks served by the platforms at a railway station,number of platform tracks,P1103,,站台对应轨道数量
91,tendency of an atom or functional group to attract electrons,electronegativity,P1108,,电负性
92,"number of people (spectators, ticket holders) at an event or exhibition",attendance,P1110,赛事、展览等事件的观众人数,出席人数
93,qualifier stating the number of votes for a candidate in an election,votes received,P1111,候选人在选举中所获得的票数,得票数
94,a quantum number; a dimensionless rational number;  the intrinsic spin angular momentum is this times the Dirac or reduced Planck constant,spin quantum number,P1122,,自旋量子数
95,identifier per Direction générale opérationelle (Wallonia),DGO4 identifier,P1133,,
96,political ideology of this organization or person,political ideology,P1142,此组织或个人的政治意识形态,政治意识形态
97,identifier for athletes in International Association of Athletics Federations (IAAF) database and website,IAAF athlete ID,P1146,在國際田徑總會(IAAF)的資料庫與網站之中，田徑選手的編號,IAAF运动员编码
98,Z39.5 bibliographic code/abbreviation established in 1969 by National Information Standards Organization and used widely in the US and elsewhere,Z39.5 abbreviation,P1161,Z39.5 書目編碼/縮寫，是1969年美國國家資訊標準組織所設另，此縮寫在美國受到廣泛使用,Z39.5縮寫
99,type of signal transmitted by a device,transmitted signal type,P1170,某裝置發送出的訊號類型,發送訊號
100,identifier for historical administrative division of Sweden (1862-1951),Geokod,P1172,瑞典行政單位的舊制編碼（1862-1951）,Geokod
101,portion of a population with a given disease,prevalence,P1193,某疾病在總人口中的感染比率,感染率
102,"spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory",space tug,P1201,將搭載物從鄰近目標星球的軌道移動到目標軌道上、或是跨星球之間軌道，所設計的太空載具,太空交通船
103,primary topic of this Wikimedia portal,Wikimedia portal's main topic,P1204,此主題頁面（Portal）的主題項目,維基媒體主題的主要話題
104,"identifier for a theatrical work, in the Theatricalia database",Theatricalia play ID,P1242,在戲劇資料庫（ http://theatricalia.com ）中劇本作品的索引資料,Theatricalia劇作索引碼
105,"""Defined Meaning"" on the site OmegaWiki",OmegaWiki Defined Meaning,P1245,在OmegaWiki網站上所呈現的「定義值（Defined Meaning）」,OmegaWiki定义
106,compression ratio of an engine,compression ratio,P1247,引擎容積的壓縮比率,壓縮比
107,"identifier in the Notable Names Database, a biographical database: only for people entries",NNDB people ID,P1263,NNDB传记数据库中的编码,NNDB
108,organization or individual that an entity represents,represents,P1268,,代表对象
109,identifier for academic journals,Norwegian Register journal ID,P1270,,
110,identifier in the encyclopedia Dictionnaire du Jura,Dictionnaire du Jura ID,P1276,,
111,number given to businesses by the United States Internal Revenue Service,IRS Employer Identification Number,P1297,,
112,identifier in Bibliotheca Alexandrina,EGAXA ID,P1309,,
113,"facet of a polytope, in the next-lower dimension",has facet polytope,P1312,組成幾何圖形的面或其他少一個維度的對象,維面
114,Terminologia Anatomica (1998 edition) human anatomical terminology identifier,Terminologia Anatomica 98 ID,P1323,,
115,latest possible time that something could have occurred. Use as qualifier for other date properties,latest date,P1326,发生某事的可能最晚时间，用作对其他日期属性的限定条件,最晚日期
116,"winner of an event - do not use for awards (use P166 instead), nor for wars or battles",winner,P1346,在某项活动中取得胜利的一方,获胜者
117,matches or games a player or a team played during an event. Also a total number of matches a player officially appeared in during the whole career.,number of matches played/races/starts,P1350,某比赛中的比赛场次，或某人/某队的参赛次数,参赛次数
118,the subject's numbered position within a tournament or group of performers,ranking,P1352,某人、隊伍、或作品在某比賽或排行榜中的排名,排名
119,"number of sporting matches, games or events lost",number of losses,P1356,,
120,person who scored a point or goal in a game,points/goal scored by,P1363,在比賽中得分或進球的某位人物,得分或進球者
121,identifier for an item in the National and University Library in Zagreb (including leading zeroes),NSK ID,P1375,位在克羅埃西亞的首都薩格勒布市的「國家與學院圖書館」(NSK)的資料索引碼,NSK編碼
122,identifier for a station in Hong Kong issued by MTR,MTR station code,P1377,由香港铁路所发布的车站代码,港铁站代码
123,identifier for a high school in Japan,Japanese High School Code,P1386,,
124,identifier in State Catalogue of Geographical Names (Russia),State Catalogue of Geographical Names (Russia) ID,P1397,俄羅斯國家地理名稱目錄中的代碼,國家地理名稱目錄(俄)
125,crime a person was convicted of,convicted of,P1399,此人犯下的罪行,所犯罪名
126,identifier used by the Oxford Dictionary of National Biography,Oxford Dictionary of National Biography ID,P1415,牛津大學出版社所使用的線上傳記資源（前身是牛津國家傳記大辭典）控制編號,牛津國家人物傳記大辭典編號
127,shape of an object,shape,P1419,物体的几何形状,形状
128,(incorrect) name(s) listed as synonym(s) of a taxon name,taxon synonym,P1420,次异名,同物異名
129,personal Identification number in Research Platform for Art and Cultural History of the 17th Century (Sandrart.net),Sandrart.net person ID,P1422,17世紀藝術和文化史研究平台中的個人識別號碼,桑德拉特网人物编号
130,heritage designation of a cultural or natural site,heritage designation,P1435,历史遗迹的保护状况,文化遗产保护状况
131,"to link a fictional universe with a work that describes it: <universe> ""described in the work:"" <work>",fictional universe described in,P1445,,虚构世界描述于
132,informal name (for a pseudonym use P742),nickname,P1449,人物或事物的绰号,昵称
133,link to the list of heritage monuments in the place/area,list of monuments,P1456,,古迹列表
134,identifier for a document in Nupill Literatura Digital,Nupill Literatura Digital - Document,P1474,,
135,"published title of a work, such as a newspaper article, a literary work, a website, or a performance work",title,P1476,作品的标题、作品（例如書、電影或網站）的名稱,标题
136,immediate cause of this effect,immediate cause of,P1536,,
137,"thing that is significantly influenced by this cause, but does not directly result from it.  See 'Help:Modeling causes' for examples and discussion.",contributing factor of,P1537,,
138,"position of an item in its parent series, generally to be used as a qualifier. Different from ""rank""",series ordinal,P1545,在序列中所處的序號，其值通常為數字,系列序號
139,the entity has an inherent or distinguishing non-material characteristic,has quality,P1552,該實體的固有性質或可辨別的非物質特徵,擁有特性
140,identifier of a person in the Zentralblatt MATH database,zbMATH author ID,P1556,數學文摘數據庫中個人的標識符,數學文摘作者標識符
141,indication about the speed or pace of a given musical piece,tempo marking,P1558,,拍速标记
142,identifier in the GeoNames geographical database,GeoNames ID,P1566,地理名字庫地理數據庫中的標識符,地理名字库编号
143,"Judge, magistrate or equivalent, presiding at a trial",judge,P1594,主审该案的法官、地方法官或同等人士,法官
144,identifier for an architectural property in Catalonia. max. 5-digit numeric,Inventari del Patrimoni Arquitectònic de Catalunya code,P1600,,
145,pathogen of which this species is a long-term host,natural reservoir of,P1606,,
146,Hermann-Mauguin notation of the mineral's symmetry element (short form),Hermann-Mauguin notation,P1632,,
147,name taken or used as a member of a religious community,religious name,P1635,被視為或被用作宗教團體成員的名稱,宗教姓名
148,"default communication endpoint in TCP, UDP, or other transport protocol",port,P1641,,
149,configuration of wing(s) used by an aircraft,wing configuration,P1654,,
150,standardized list of words used in the description of human embryologic and fetal structures,Terminologia Embryologica,P1693,,
151,"identifier for authority control per the National Library of Poland. Format: ""A"", 7 digits, ""X"" or another digit.",NLP ID,P1695,,
152,identifier for Metacritic,Metacritic ID,P1712,標識符,
153,reference number of intangible cultural heritage of Slovenia (EID),RKD/ESD (Slovenia) ID,P1715,,
154,brand of a product,brand,P1716,,品牌
155,hanyu pinyin transliteration of a pinyin text (usually to be used as a qualifier),pinyin transliteration,P1721,,汉语拼音转写
156,identifier in the Naturbase database published by the Norwegian Environment Agency,Naturbase ID,P1732,,
157,when person swore the oath of office,oath of office date,P1734,,
158,URL stem of page in The Merck Index Online,Merck Index monograph,P1738,,
159,reference for a species in the Bradley and Fletcher checklist of British lepidoptera,Bradley and Fletcher checklist number,P1743,,
160,identifier for a name or nomenclatural act at ZooBank,ZooBank ID for name or act,P1746,動物園銀行上的名稱或命名行為的標識符,動物園銀行名稱或命名行為標識符
161,identifier for a taxon in Flora of the People's Republic of China,Flora of China ID,P1747,,
162,"identifier in the United States National Cancer Institute Thesaurus, vocabulary for clinical care, translational and basic research, etc",NCI Thesaurus ID,P1748,,
163,identifier in the  online database for cultural heritage monuments in the German state of Hesse,denkXweb identifier,P1769,,
164,identifier in 'Lista monumentelor istorice din România' (Romanian heritage sites),Romania LMI code,P1770,,
165,for unknown artists who work in the manner of the named artist,follower of,P1775,,
166,"name bestowed upon a person at adulthood in addition to one's given name, mostly in East Asia",courtesy name,P1782,汉字文化圈传统上在本名之外的一个正式代称,表字
167,Wikimedia category for people associated with this place,category of associated people,P1792,維基媒體類別適用於與此地點相關的人員,相关人物分类
168,identifier in the atlas-patrimoine93.fr website,bureau du patrimoine de Seine-Saint-Denis ID,P1794,,
169,"identifer for a person affiliated with Masaryk University (staff, alumnus, student…)",Masaryk University person ID,P1803,,
170,set of persons qualified to vote during elections,electorate,P1831,某地区已登记的选民人数,选民数
171,identifier for a building in the Gaoloumi database,Gaoloumi ID,P1837,,高楼迷编码
172,identifier for Global Anabaptist Mennonite Encyclopedia Online,Global Anabaptist Mennonite Encyclopedia Online ID,P1842,,
173,common or vernacular name of a biological taxon,taxon common name,P1843,,生物俗名
174,"total number of ballot(s) cast, including invalid or blank ballots",ballots cast,P1868,包含有效票和废票数目的投票总数,实际投票数
175,maximum numbers of players of a game,maximum number of players,P1873,,
176,"vessel involved in this mission, voyage or event",vessel,P1876,事件涉及的船只,船只
177,identifier for an artist in the Web Gallery of Art,Web Gallery of Art ID,P1882,,
178,article about the person in the Australian Dictionary of Biography,Australian Dictionary of Biography ID,P1907,,
179,This property should link a gene and a disease due to an altered posttranslational modification,posttranslational modification association with,P1917,,
180,identifier for MobyGames,MobyGames ID,P1933,,mobygames标识符
181,identifier for persons in the Database of Classical Scholars,Database of Classical Scholars ID,P1935,,
182,geographic location code mantained by UNECE,UN/LOCODE,P1937,,
183,identifier for a taxon in the conifers.org database,conifers.org ID,P1940,,
184,"ID for a photo on Mapillary, a service for crowdsourcing map photos",Mapillary ID,P1947,,Mapillary編號
185,identifier of Comité des travaux historiques et scientifiques,CTHS society ID,P1961,,
186,identifier for a person on the MovieMeter film database,MovieMeter director ID,P1969,荷蘭電影儀表電影數據庫中人物的標識符,荷兰电影仪表导演编号
187,identifier for a food item in the United States Department of Agriculture National Nutrient Database,USDA NDB number,P1978,,
188,identifier for a person in the PolSys database of Norwegian politicians,PolSys ID,P1980,,
189,identifier of a company on animenewsnetwork.com,Anime News Network company ID,P1983,,ANN公司ID
190,biographical entry in the Catalogus Professorum Halensis,Catalogus Professorum Halensis,P2005,,
191,identifier for a publication at ZooBank,ZooBank publication ID,P2007,,
192,identifier for a person on the AllMovie film database,AllMovie artist ID,P2019,,
193,"username of this project, person or organization on GitHub",GitHub username,P2037,GitHub上此項目，個人或組織的用戶名,GitHub使用者名稱
194,magnitude of the velocity of the item,speed,P2052,,速度
195,size of a stream's watershed (drainage basin),watershed area,P2053,,
196,"Object ID to identify cultural heritage monuments in Brandenburg, Germany",BLDAM object ID,P2081,,
197,decomposition point of a substance,decomposition point,P2107,,
198,enthalpy difference of a substance for combustion,combustion enthalpy,P2117,,
199,romanized Japanese following the Revised Hepburn romanization system,Revised Hepburn romanization,P2125,,修订平文式罗马字
200,market value of all officially recognized final goods and services produced within a country in a given period of time,nominal GDP,P2131,名义国内生产总值,名义GDP
201,"amount of debt for a company, organization or public entity",total debt,P2133,,
202,particle with the same rest mass and opposite charges,antiparticle,P2152,,
203,SIGIC - Slovenian Music Information Center (property for music group),SIGIC group ID,P2165,,
204,identifer in the PublicWhip database of British MPs,PublicWhip ID,P2169,,
205,Parliamentary record identifier for British MPs,Parliamentary record identifier,P2172,,
206,Identifer in the BBC News Democracy Live database of British MPs,BBC News Democracy Live ID,P2173,,
207,ACM Computing Classification Code of 2012 (8 digits),ACM Classification Code (2012),P2179,,
208,code of the entry on the Kansallisbiografia database,Kansallisbiografia ID,P2180,芬蘭國家傳記數據庫條目的代碼,芬蘭國家傳記標識符
209,code of the entry on the Finnish ministers database,Finnish Ministers database ID,P2182,,
210,identifier in the BiblioNet database of publishers,BiblioNet publisher ID,P2189,,
211,numeric author identifier within the Vegetti Catalog of Fantastic Literature,NILF author id,P2191,,
212,player ID on the Soccerbase.com website,Soccerbase player ID,P2193,,
213,amount of produced in a given time,production rate,P2197,,
214,electric charge of a subatomic particle,electric charge,P2200,,
215,cinemetrical measure,average shot length,P2208,,
216,"identifier for an official SourceForge repository (""project"") for a software product",SourceForge project,P2209,一個軟件產品的官方資源鍛造存儲庫（“項目”）的標識符,資源鍛造項目
217,angle from the body's ascending node to its periapsis,argument of periapsis,P2248,,
218,Department for Education Unique Reference Number; school identifier used by the UK government,DfE URN,P2253,,
219,ceiling or maximum density altitude at which an aircraft can operate,maximum operating altitude,P2254,,
220,"standard nominal interval between scheduled or regularly recurring events. Include unit of time, e.g. ""year"" (Q577)",frequency of event,P2257,事件发生的频率,事件频率
221,identifier for countries in ITU-T Recommendation E.212 for use in describing mobile networks,mobile country code,P2258,,行動裝置國家代碼
222,person or group whose statements have been fact checked by PolitiFact.com,PolitiFact Personality ID,P2267,,
223,"an identifier for members, or former members, of the national parliament of Greece",Member of the Hellenic Parliament ID,P2278,,
224,musical interval/range of a melody,ambitus,P2279,,
225,item or concept used by the subject or in the operation,uses,P2283,使用的对象,使用
226,exports minus imports. not to be confused with current account balance and balance of payments,balance of trade,P2294,,經常收支
227,qualifier to define a property constraint in combination with P2302 (Wikidata property constraint),namespace,P2307,限定符與P2302一起定義屬性約束（維基數據屬性約束）,命名空間
228,"qualifier to define a property constraint in combination with P2302. ""no value"" can be used to specify no upper bound",maximum value,P2312,,最大数值
229,number of remains buried or interred,quantity buried,P2324,,
230,,ProCyclingStats race ID,P2327,,
231,identifier for a movie in the Elonet database,Elonet movie ID,P2346,,
232,identifier for endangered languages listed by UNESCO,UNESCO Atlas of the World's Languages in Danger ID,P2355,,
233,"standard part of the name of a Roman, link to items about the Roman gens only",Roman nomen gentilicium,P2359,,
234,software version it was deprecated in,deprecated in version,P2379,,
235,identifier for a person in the directory of French learned societies,CTHS person ID,P2383,,
236,teaching method adopted by an educational institution,teaching method,P2392,,
237,value of assets held by a private or public entity,total assets,P2403,,资产总值
238,"historical, contemporary or future period the work is set in",set in period,P2408,历史或未来时期的作品的設定,時代背景
239,describes in which biological pathways a biological entity occurs,WikiPathways ID,P2410,,
240,external link to a designer's profile at the FMD (Fashion Model Directory) website,FMD designer ID,P2412,到時裝模特兒指南網站上的設計師檔案的外部鏈接,時裝模特兒指南設計師標識符
241,institutional identifier from the GRID.ac global research identifier database,GRID ID,P2427,來自全球研究標識數據庫的機構標識符,全球研究標識符數據庫標識符
242,number of seasons a television or radio series has had,number of seasons,P2437,電視節目系列或廣播系列的季節數,季度数
243,qualifier used with «nominated for» to specify which person or organization was nominated,nominee,P2453,,
244,identifier for a person in the Royal Netherlands Academy of Arts and Sciences past member database,KNAW past member ID,P2454,,
245,biathlete's identifier in the International Biathlon Union's database,IBU biathlete ID,P2459,,
246,,member of the deme,P2462,,
247,"identifier for a theatre, in the theatricalia.com database",Theatricalia theatre ID,P2468,,
248,ice hockey player ID assigned by Elite Prospects,Elite Prospects player ID,P2481,,
249,identifier of a person in the Society for American Baseball Research database,SABR person ID,P2482,,
250,identifier for a school district or education agency in the United States,NCES District ID,P2483,,
251,the league above this sports league,league level above,P2499,,
252,minimum pressure measured or estimated for a storm (a measure of strength for tropical cyclones),lowest atmospheric pressure,P2532,,最低气压
253,artist identifier for Nationalmuseum in Sweden,Nationalmuseum Sweden artist ID,P2538,,
254,linear distance around the outside of an object,perimeter,P2547,,周长
255,"fee or toll payable to use, transit or enter the subject (only for one-time fees, do NOT use it for an ongoing fee, tuition fee or trading fee)",fee,P2555,,
256,"text describing how to use a property or item. Eventually, this statement is to replace usage instructions currently found in description. Until the corresponding feature is implemented, do not remove it from description.",Wikidata usage instructions,P2559,,维基数据使用说明
257,"name the subject is known by. If a more specific property is available, use that",name,P2561,名稱主題是已知的。 如果有更具體的屬性，請使用它,名称
258,indicates the characteristic climate of a place,Köppen climate classification,P2564,,
259,document is amended by specified other document,amended by,P2567,,
260,"Twitter hashtag associated with this entity. Format: do not include the ""#"" symbol",Twitter hashtag,P2572,與此實體關聯的推特主題標籤。 格式：不包括“＃”符號,推特主题标签
261,"identifier for a football player, at National-Football-Teams.com",National-Football-Teams.com player ID,P2574,,
262,physical quantity that this device measures,measures,P2575,,
263,estimated distance to astronomical objects,distance from Earth,P2583,,
264,the language's phonology includes this sound,has phoneme,P2587,,
265,Gram stain type of a bacterial strain,Gram staining,P2597,,
266,size of block for this block cipher or hash function,block size,P2599,,
267,unique identifier of PlayStation software and hardware assigned by Sony Computer Entertainment Inc.,PlayStation ID,P2606,索尼计算机娱乐公司指定的PlayStation软件和硬件的唯一标识符,戲驛唯一标识符
268,identifier for a company in the company register of Hungary,Hungarian company ID,P2619,,
269,identifier for a song or artist at the MetroLyrics website,MetroLyrics ID,P2624,,
270,"identifier for a tennis player, in the Davis Cup database",Davis Cup player ID,P2641,,
271,"identity code for an organisation, in the transparency register of the European Union",EU Transparency Register ID,P2657,,
272,identifier for a NBA player on the Basketball Reference website,Basketball-Reference.com NBA player ID,P2685,,
273,particular manner of distribution of a data set (database or file) that is publicly available,dataset distribution,P2702,,
274,identifier for an album or single on Deezer,Deezer album ID,P2723,,
275,identifier for an application (or film) available from the distribution platform GOG.com,GOG application ID,P2725,,
276,identifier for a taxon names in the New Zealand Organisms Register,New Zealand Organisms Register ID,P2752,,
277,"identifier for an alpine skier, in the International Ski Federation database",FIS alpine skier ID,P2772,,
278,"identifier for a cross-country skier, in the International Ski Federation database",FIS cross-country skier ID,P2773,,
279,"identifier for a ski jumper, in the International Ski Federation database",FIS ski jumper ID,P2775,,
280,case number of a listed building in Denmark,Danish listed buildings case ID,P2783,丹麥上市建築案例編號,丹麥上市建築案例標識符
281,item with which the item is physically connected,connects with,P2789,,
282,distance between surface under bridge and bottom of a bridge deck,clearance,P2793,,
283,member identifier for a sailor in the World Sailing database,World Sailing member ID,P2804,,
284,"identifier for a pollen or spore in the Australasian Pollen and Spore Atlas, managed by the Australian National University",Australasian Pollen and Spore Atlas Code,P2809,,
285,"identifier for a golf player, in the LPGA database",LPGA Tour golf player ID,P2810,,
286,"product of a chemical or industrial process, of secondary economic value",by-product,P2821,,
287,"identifier for a player, on the official Belgian football federation website",Royal Belgian Football Association player ID,P2823,,
288,identifier for the film in the database Megogo,Megogo ID,P2826,,
289,gait of an animal,gait,P2839,,
290,identifier in Benezit Dictionary of Artists,Benezit ID,P2843,,
291,internet access availability through Wi-Fi,Wi-Fi access,P2848,通過無線局域網訪問互聯網,無線局域網
292,"percentage value-added tax in this country or region. Do not use for sales tax. For specialised rates, use qualifiers",VAT-rate,P2855,,
293,standard publication interval for daily or periodical publications,publication interval,P2896,期刊报纸的出版频率,出版频率
